edrpou,document,type_of_construction,legal_base,n
02214165,декларація про початок будівельних робіт,"Реконструкція аудиторії №330 з влаштуванням додаткового вікна Національної академії образотворчого мистецтва і архітектури; м.Київ, Шевченківський, вул. Смирнова-Ласточкіна, 20",не зазначено,7
20001823,декларація про готовність об'єкта до експлуатації,"Капітальний (аварійний) ремонт покрівлі складських приміщень Національної академії СБУ України; м.Київ, Голосіївський, вул. М. Максимовича, 22",не зазначено,8
20001823,декларація про готовність об'єкта до експлуатації,"Капітальний (аварійний) ремонт покрівлі громадсько-побутового корпусу ""В"" блоку № 2 (їдальня) Національної академії СБУ України; м.Київ, Голосіївський, вул. М. Максимовича, 22",не зазначено,8
20001823,декларація про початок будівельних робіт,"Капітальний (аварійний) ремонт покрівлі складських приміщень Національної академії СБУ України; м.Київ, Голосіївський, вул. М. Максимовича, 22",не зазначено,8
20001823,декларація про початок будівельних робіт,"Капітальний (аварійний) ремонт покрівлі громадсько-побутового корпусу ""В"" блоку № 2 (їдальня) Національної академії СБУ України; м.Київ, Голосіївський, вул. М. Максимовича, 22",не зазначено,8
20001823,декларація про початок будівельних робіт,"Капітальний (аварійний) ремонт покрівлі військово-медичної служби Національної академії СБУ України; м.Київ, Голосіївський, вул. М. Максимовича, 22",не зазначено,8
20001823,декларація про початок будівельних робіт,"Капітальний (аварійний) ремонт фасадів та покрівлі гуртожитку Національної акадеції СБ України; м.Київ, Голосіївський, вул. М. Максимовича, 22",державний акт 07-9-00085 2009-09-11,8
20001823,декларація про початок будівельних робіт,"Капітальний ремонт та часткове перепланування приміщень двосекційного 9-поверхового гуртожитку; м.Київ, Солом'янський, прсп. Червонозоряний, 98",державний акт 06-9-00082 2007-12-20,8
01896702,декларація про початок будівельних робіт,"Капітальний ремонт приміщень 3-го поверху гуртожитку №1 \ ; м.Київ, Шевченківський, вул. Довнар-Запольського, 16",державний акт І-КВ 005076 2001-07-23,7
01132330,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт підлоги холу та частини сходів навчального корпусу № 1 Національного авіаційного університету (без зміни зовнішніх геометричних розмірів їх фундаментів у плані); м.Київ, Солом'янський, прсп. Комарова, 1, корп. 1",не зазначено,7
01132330,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт головного фасаду навчального корпусу №1 Національного авіаційного університету; м.Київ, Солом'янський, прсп. Космонавта Комарова, 1, корп. 1",не зазначено,7
01132330,повідомлення про початок будівельних робіт,"Капітальний ремонт головного фасаду навчального корпусу №1 Національного авіаційного університету; м.Київ, Солом'янський, прсп. Космонавта Комарова, 1, корп. 1",не зазначено,7
01132330,повідомлення про початок будівельних робіт,"Капітальний ремонт підлоги холу та частини сходів навчального корпусу № 1 Національного авіаційного університету (без зміни зовнішніх геометричних розмірів їх фундаментів у плані); м.Київ, Солом'янський, прсп. Комарова, 1, корп. 1",не зазначено,7
01132330,сертифікат,"Будівництво житлового будинку з вбудованими адміністративними приміщеннями на вул. Михайла Донця, 2-А у Солом'янському районі м. Києва Паркінг (ІХ черга будівництва); м.Київ, Солом'янський, прсп. Відрадний, 4",державний акт ЯЯ 9082564 2008-03-27,7
01132330,сертифікат,"Будівництво середньої загальноосвітньої школи на розі вул. Лебедєва-Кумача і вул. Землячки (вул. Т. Яблонської) у Солом’янському районі м. Києва; м.Київ, вул. Тетяни Яблонської, 12",державний акт І-КВ 007391 2002-09-25,7
01132330,декларація про готовність об'єкта до експлуатації,"Будівнцтво жилого будинку (завершення і прийняття в експлуатацію напівпідземної автостоянки); м.Київ, Солом'янський, вул. між вулицямии Лебедєва-Кумача та Землячrи, 0",державний акт 72-4-00050 2002-09-25,7
01132330,сертифікат,"Будівництво житлового будинку з вбудованими адміністративними приміщеннями по вул. Михайла Донця, 2-А в Солом'янському районі м. Києва. Секції №1, 2 (І, ІІ черги будівництва); м.Київ, Солом'янський, пров. Відрадний, 4",державний акт ЯЯ 9082564 2008-03-27,7
01132330,сертифікат,"Будівництво житлового комплексу з підземним паркінгом та дитячим садком по проспекту Космонавта Комарова, 1 у Солом'янському районі м. Києва. І черга будівництва, житловий будинок (№1 за ГП) та ТП (№2 за ГП); м.Київ, Солом'янський, прсп. Космонавта Комарова, 1",державний акт ЯЯ 06-9-00083 2008-03-27,7
01132330,сертифікат,"Будівництво житлового будинку з вбудованими адміністративними приміщеннями по вул. Михайла Донця, 2-А у Солом’янському районі м. Києва. Черги 3, 4, 5 (секції №3, 4, 5) черга 1 (РП-ТП №532); м.Київ, прсп. Відрадний, 4",державний акт ЯЯ 9082564 2008-03-27,7
01132330,декларація про готовність об'єкта до експлуатації,"Капітальний ремот зовнішньої тепломережі та вузла вводу УПО-2; м.Кіровоград,вул.Добровольського,1",державний акт КР 00000560 1999-12-21,7
01132330,сертифікат,"Будівництво житлового будинку з вбудованими адміністративними приміщеннями на вул. Михайла Донця, 2-А у Солом’янському районі м. Києва. Черги 8, 7, 6 (секція 8, 7, 6); м.Київ, прсп. Відрадний, 4",не зазначено,7
01132330,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт асфальтобетонного покриття приангарних майданчиків та руліжних доріжок; м.Кіровоград,Вул.Добровольського,1",державний акт КР 00000560 1999-12-21,7
01132330,декларація про початок будівельних робіт,"Капітальний ремот зовнішньої тепломережі та вузла вводу УПО-2; м.Кіровоград,вул.Добровольського,1",державний акт КР 00000560 1999-12-21,7
01132330,декларація про початок будівельних робіт,"Капітальний ремонт асфальтобетонного покриття приангарних майданчиків та руліжних доріжок; м.Кіровоград,Вул.Добровольського,1",державний акт КР 00000560 1999-12-21,7
01132330,дозвіл на будівельні роботи,"Будівництво житлового комплексу з підземним паркінгом на просп. Космонавта \ Комарова, 1 на розі просп. Відрадного та вул. Гарматної у Солом’янському районі м. Києва \ ; м.Київ, прсп. Комарова, 1",державний акт 06-9-00083 2008-03-27,7
01132330,повідомлення про початок підготовчих робіт,"Будівництво житлового будинку з підземним паркінгом; м.Київ, Солом'янський, прсп. Космонавта Комарова, на розі просп. Відрадного та вул. Гарматної, 1",державний акт ЯЯ 382564 2008-03-27,7
01132330,декларація про готовність об'єкта до експлуатації,"Будівництво другої черги житлового комплексу; Київська обл., Києво-Святошинський р‑н, м. Вишневе, вул. Вітянська, 2",договір оренди 955 2012-03-29,7
01132330,дозвіл на будівельні роботи,"Будівництво житлового комплексу з підземним паркінгом та дитячим садком; м.Київ, прсп. Космонавта Комарова, 1",державний акт ЯЯ 06-9-00083 2008-03-27,7
01132330,сертифікат,"Будівництво житлового будинку \ між вул. Лебедєва-Кумача та вул. Землячки у Солом’янському районі м. Києва \ (Нежитлове вбудоване приміщення (№541 – за технічним паспортом) – Офісне приміщення) \ ; м.Київ, вул. Лебедєва-Кумача, 5",не зазначено,7
01132330,декларація про готовність об'єкта до експлуатації,"Будівництво першої черги житлового комплексу; Київська обл., Києво-Святошинський р‑н, м. Вишневе, вул. Вітянська, 2",договір оренди 955 2012-03-29,7
01132330,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво житлового будинку з вбудованими адміністративними приміщеннями; , вул. ,",не зазначено,7
14282798,декларація про початок будівельних робіт,"Капітальний ремонт покрівлі будівлі Національного інституту стратегічних досліджень на Чоколівському бульварі, 13 у м. Києві, категорія 3",не зазначено,8
14282798,декларація про початок будівельних робіт,"Капітальний ремонт покрівлі будівлі Національного інституту стратегічних досліджень на Чоколівському бульварі, 13 у м. Києві, категорія 3",не зазначено,8
02010787,зміна даних у декларації про початок будівельних робіт,"Аварійний капітальний ремонт покрівлі гуртожитку № 5 Національного медичного університету імені О.О. Богомольця; м.Київ, Солом'янський, вул. Полковника Шутова, 14Б",не зазначено,7
02010787,повідомлення про початок будівельних робіт,"Авварійний капітальний ремонт приміщень 1-го поверху фармацевтичного корпусу НМУ імені О.О. Богомольця; м.Київ, Шевченківський, вул. Пушкінська, 22",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт покрівлі фізико-хімічного корпусу Національного медичного університету імені О.О. Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про початок будівельних робіт,"аварійний капітальний ремонт приміщень та коридорів 3-го та 4-го поверхів, місць загального користування морфологічного корпусу НМУ ім.О.О.Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт покрівлі гуртожитку № 5 Національного медичного університету імені О.О. Богомольця; м.Київ, Солом'янський, вул. Полковника Шутова, 14Б",не зазначено,7
02010787,декларація про початок будівельних робіт,"аварійний капітальний ремонт мансард та сходових клітин морфологічного корпусу НМУ ім.О.О.Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт літніх будиночків бази відпочинку ""Медик"" НМУ імені О.О. Богомольця; Київська обл., Обухівський р-н, смт Козин, вул. Солов""яненка, 349",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт приміщень патологоанатомічного корпусу НМУ імені О.О. Богомольця; м.Київ, Печерський, вул. Мечникова, 5",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт будівель та зовнішнього освітлення бази відпочинку ""Медик"" НМУ ім. О.О. Богомольця; Київська обл., Обухівський р-н, смт Козин, вул. без вулиці, 00",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт коридорів 3-го, 4-го, 5-го поверхів, сходових клітин та місць загального користування гуртожитку № 4 НМУ імені О.О. Богомольця; м.Київ, Шевченківський, вул. Шутова, 14-А",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт приміщень першого, цокольного поверхів, пандусу стоматологічного корпусу НМУ імені О.О. Богомольця; м.Київ, Шевченківський, вул. Зоологічна, 1",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт житлових кімнат блоків на 12-му, 11-му, 10-му поверхах та місць загального користування гуртожитку № 7 НМУ імені О.О. Богомольця; м.Київ, Солом'янський, бул. Чоколівський, 39",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт приміщень санітарно-гігієнічного корпусу НМУ імені О.О. Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт кафедри радіаційної медицини (1 поверх) морфологічного карпусу Національного медичного університету імені О.О. Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"аварійний капітальний ремонт механічних майстерень та підсобних приміщень ПМУ ім.Богомольця О.О.; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт приміщень будівлі навчального корпусу Національного медичного університету імені О.О. Богомольця; м.Київ, Печерський, вул. Мечникова, 5",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт приміщень 1-го поверху стоматології (праве крило) НМУ імені О.О. Богомольця; м.Київ, Шевченківський, вул. Зоологічна, 1",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт ангару спорткомплексу Національного медичного університету імені О.О.Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"аварійний капітальний ремонт гуртожитку №3; м.Київ, Солом'янський, вул. Шутова, 14",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт в приміщенні гуртожитку № 5 Національного медичного університету імені О.О. Богомольця; м.Київ, Солом'янський, вул. Шутова, 14б",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт асфальтобетонногоь покриття та благоустрій прилеглої території гуртожитків № 3, 4, 5, 6 НМУ імені О.О. Богомольця; м.Київ, Солом'янський; вул. Шутова, 14",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт асфальтобетонного покриття пандусу Національного медичного університету імені О.О.Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"аварійний капітальний ремонт приміщень гуртожитку №4 НМУ імені О.О.Богомольця; м.Київ, Солом'янський, вул. Шутова, 14-а",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт приміщень санітарно-гігієнічного корпусу Національного медичного університету імені О.О. Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт приміщень цокольного поверху кафедри радіаційної медицини морфологічного корпусу Національного медичного університету ім. О.О. Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт приміщень гуртожитку №7 (приміщення 15, 14 та 13 поверхів) НМУ імені О.О.Богомольця; м.Київ, Солом'янський, бул. Чоколівський, 39",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт стін, парапету та опорядження зовнішнього своду пандусу Національного медичного університету імені О.О. Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт навчальних приміщень 1-го та 2-го поверху кафедри анатомії людини морфологічного корпусу Національного медичного університету імені О.О.Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт приміщень санітарно-гігієнічного корпусу Національного медичного університету імені О.О. Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт навчальних приміщень 1-го та 2-го поверху кафедри анатомії людини морфологічного корпусу Національного медичного університету імені О.О.Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт кафедри радіаційної медицини (1 поверх) морфологічного карпусу Національного медичного університету імені О.О. Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт асфальтобетонного покриття пандусу Національного медичного університету імені О.О.Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт фасаду гуртожитку № 7 Національного медичного університету імені О.О. Богомольця; м.Київ, Солом'янський, бул. Чоколівський, 39",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт приміщень гуртожитку №7 (приміщення 15, 14 та 13 поверхів) НМУ імені О.О.Богомольця ; м.Київ, Солом'янський, бул. Чоколівський, 39",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт стін, парапету та опорядження зовнішнього своду пандусу Національного медичного університету імені О.О. Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт асфальтобетонногоь покриття та благоустрій прилеглої території гуртожитків № 3, 4, 5, 6 НМУ імені О.О. Богомольця; м.Київ, Солом'янський; вул. Шутова, 14",не зазначено,7
02010787,декларація про початок будівельних робіт,"аварійний капітальний ремонт приміщень гуртожитку №4 НМУ імені О.О.Богомольця; м.Київ, Солом'янський, вул. Шутова, 14-а",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт приміщень цокольного поверху кафедри радіаційної медицини морфологічного корпусу Національного медичного університету ім. О.О. Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт будівель та зовнішнього освітлення бази відпочинку ""Медик"" НМУ ім. О.О. Богомольця; Київська обл., Обухівський р-н, смт Козин, вул. без вулиці, 0",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт ангару спорткомплексу Національного медичного університету імені О.О.Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт будівель та інженерних мереж бази відпочинку ""Медик"" НМУ імені О.О. Богомольця в смт Козин, Обухівськьго р-ну; Київська обл., Обухівський р‑н, смт Козин, вул. не вказана, 0",державний акт ІІ-КВ 002676 2003-05-27,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт в приміщенні гуртожитку № 6 НМУ імені О.О. Богомольця; м.Київ, Солом'янський, вул. Шутова, 14в",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт в приміщенні гуртожитку № 7 НМУ імені О.О. Богомольця; м.Київ, Солом'янський, бул. Чоколівський, 39",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт приміщень 1-го поверху стоматології (праве крило) НМУ імені О.О. Богомольця; м.Київ, Шевченківський, вул. Зоологічна, 1",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт покрівлі морфологічного корпусу НМУ ім.О.О.Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт будівлі кафедри патологічної анатомії НМУ імені О.О. Богомольця (підвальні приміщення); м.Київ, Печерський, вул. Мечникова, 5",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт в приміщенні гуртожитку № 5 Національного медичного університету імені О.О. Богомольця; м.Київ, Солом'янський, вул. Шутова, 14б",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт приміщень будівлі навчального корпусу Національного медичного університету імені О.О. Богомольця; м.Київ, Печерський, вул. Мечникова, 5",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"аварійний капітальний ремонт в приміщенні гуртожитку №4 НМУ ім.О.О.Богомольця; м.Київ, Солом'янський, вул. Шутова, 14а",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт приміщень фізико-хімічного корпусу, блок ""А"" НМУ ім. О.О. Богомольця (приміщення 2 поверху); м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"Аварійний капітальний ремонт навчальних приміщень 3-го та 4-го поверхів морфологічного корпусу НМУ імені О.О.Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про готовність об'єкта до експлуатації,"аварійний капітальний ремонт покрівлі стоматологічного корпусу НМУ ім.О.О.Богомольця; м.Київ, Шевченківський, вул. Зоологічна, 1",не зазначено,7
02010787,декларація про початок будівельних робіт,"аварійний капітальний ремонт механічних майстерень та підсобних приміщень ПМУ ім.Богомольця О.О.; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт навчальних приміщень 3-го та 4-го поверхів морфологічного корпусу НМУ імені О.О.Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт будівлі кафедри патологічної анатомії НМУ імені О.О. Богомольця (підвальні приміщення); м.Київ, Печерський, вул. Мечникова, 5",не зазначено,7
02010787,декларація про початок будівельних робіт,"аварійний капітальний ремонт покрівлі стоматологічного корпусу НМУ ім.О.О.Богомольця; м.Київ, Шевченківський, вул. Зоологічна, 1",не зазначено,7
02010787,декларація про початок будівельних робіт,"аварійний капітальний ремонт в приміщенні гуртожитку №4 НМУ ім.О.О.Богомольця; м.Київ, Солом'янський, вул. Шутова, 14а",не зазначено,7
02010787,декларація про початок будівельних робіт,"аварійний капітальний ремонт покрівлі морфологічного корпусу НМУ ім.О.О.Богомольця; м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт будівель та інженерних мереж бази відпочинку ""Медик"" НМУ імені О.О. Богомольця в смт Козин, Обухівськьго р-ну; Київська обл., Обухівський р‑н, смт Козин, вул. не вказана, 00",державний акт ІІ-КВ 002676 2003-05-27,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт в приміщенні гуртожитку № 7 НМУ імені О.О. Богомольця; м.Київ, Солом'янський, бул. Чоколівський, 39",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт приміщень фізико-хімічного корпусу, блок ""А"" НМУ ім. О.О. Богомольця (приміщення 2 поверху); м.Київ, Шевченківський, прсп. Перемоги, 34",не зазначено,7
02010787,декларація про початок будівельних робіт,"аварійний капітальний ремонт гуртожитку №3; м.Київ, Солом'янський, вул. Шутова, 14",не зазначено,7
02010787,декларація про початок будівельних робіт,"Аварійний капітальний ремонт в приміщенні гуртожитку № 6 НМУ імені О.О. Богомольця; м.Київ, Солом'янський, вул. Шутова, 14в",не зазначено,7
02010787,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво гуртожитку Національного медичного університету імені О.О.Богомольця на вул. А.Заболотного, 148 у Голосіївському районі м. Києва; м.Київ, вул. Академіка Заболотного, 148",державний акт ЯЯ 385095 2012-12-10,7
00496805,декларація про початок будівельних робіт,"Реконструкція нежитлових приміщень під складські приміщення; м.Київ, Голосіївський, вул. Героїв Оборони, 8",не зазначено,6
02125295,повідомлення про початок будівельних робіт,"Реконструкція житлового будинку під ""Меморіальний музей-садибу І.А. Зязюна"" по вулиці Академіка Зязюна (Пролетарська), 15 в селі Пашківка Ніжинського району, Чернігівської області; Чернігівська обл., Ніжинський р-н, с. Пашківка, вул. Академіка Зязюна, 15",витяг з реєстру прав власності (інформаційна довідка) договір пожертви від 14.12.2015 №9342 49807144 2015-12-14,7
02125295,декларація про готовність об'єкта до експлуатації,"Реконструкція гуманітарного корпусу (будівництво надбудови 4-го поверху прибудови по головному фасаду 14-поверхового гуманітарного корпусу для розміщення читального залу бібліотеки); м.Київ, Шевченківський, вул. Тургенєвська, 8-14",державний акт 01-9-00120 2009-04-27,7
02070921,сертифікат,"Будівництво житлового комплексу по вул. Дашавській, 25 у Солом'янському районі м. Києва. (нежитлове приміщення № 092 житлового будинку № 3 (92- за технічним паспортом БТІ) - офіс); м.Київ, Солом'янський, вул. Дашавська, 25",державний акт 72-4-00072 2004-03-05,7
02070921,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво навчально-житлового комплексу на вул. Польовій, 38 у Солом’янському районі м. Києва; м.Київ, Солом'янський, вул. Польова, 38",державний акт ЯЯ 380264 2009-10-12,7
02070921,сертифікат,"Будівництво навчально-житлового комплексу на вул. Польовій, 38 у Солом’янському районі м. Києва (перша черга будівництва, секції А, Б та В); м.Київ, вул. Польова, 38",державний акт ЯЯ 380264 2009-10-12,7
02070921,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво навчально-житлового комплексу на вул. Польовій, 38 у Солом’янському районі м. Києва; м.Київ, вул. Польова, 38",державний акт ЯЯ 380264 2009-10-12,7
02070921,дозвіл на будівельні роботи,"Будівництво навчально-житлового комплексу на вул. Польовій, 38 у Солом’янському районі м. Києва; м.Київ, вул. Польова, 38",державний акт ЯЯ 380264 2009-10-12,7
02070921,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво гуртожитку по вул. Виборзькій між будинками №2 та №6 у Солом'янському районі м. Києва; м.Київ, вул. Виборзька між буд. №2 та №6,",не зазначено,7
02070921,сертифікат,"Нежитлове приміщення №089 житлового будинку №3 (№89 - за технічним паспортом БТІ) - Офіс; м.Київ, Солом'янський район, вул. Дашавська, 25",не зазначено,7
02070921,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво гуртожитку по вул. Виборзькій, між будинками №2 та №6 у Соломянському р-ні м. Києва; м.Київ, вул. Виборзька, 2-6",державний акт ЯЯ 892798 2007-04-24,7
02070921,сертифікат,"Будівництво житлового комплексу з вбудовано-прибудованими приміщеннями, підземним та наземним паркінгом у пров. Ковальському, навпроти будинку №22 у Солом'янському районі м. Києва, категорія 4",не зазначено,7
02070921,декларація про початок будівельних робіт,"капітальний ремонт гуртожитку №18 на вул.Борщагівській, 148у Солом'янському районі (Євро-2012), ІІІ категорія складності",не зазначено,7
02070921,сертифікат,"Будівництво житлового комплексу з вбудовано-прибудованими приміщеннями, підземним та наземним паркінгом у пров. Ковальському, навпроти будинку №22 у Солом'янському районі м. Києва, категорія 4",не зазначено,7
02070921,декларація про початок будівельних робіт,"капітальний ремонт гуртожитку №18 на вул.Борщагівській, 148у Солом'янському районі (Євро-2012), ІІІ категорія складності",не зазначено,7
00493706,декларація про початок будівельних робіт,"Капітальний ремонт асфальтового покриття території ; Рівненська обл., м. Рівне, вул. Коперніка, 44",не зазначено,6
00493706,сертифікат,"Капітальний ремонт навчального корпусу №3 Національного університету біоресурсів і природокористуваннія України по вул. Героїв Оборони, 15 у Голосіївському районі м. Києва; м.Київ, вул. Героїв Оборони, 15",державний акт І-КВ 79-4-00062 2001-12-27,6
00493706,повідомлення про зміну даних в дозволі на будівельні роботи,"Капітальний ремонт навчального корпусу №3 Національного університету біоресурсів і природокористуваннія України по вул. Героїв Оборони, 15 у Голосіївському районі м. Києва; м.Київ, вул. Героїв Оборони, 15",державний акт І-КВ 79-4-00062 2001-12-27,6
00493706,дозвіл на будівельні роботи,"Капітальний ремонт навчального корпусу №3 Національного університету біоресурсів і природокористуваннія України по вул. Героїв Оборони, 15 у Голосіївському районі м. Києва; м.Київ, вул. Героїв Оборони, 15",державний акт І-КВ 79-4-00062 2001-12-27,6
00493706,декларація про початок будівельних робіт,"Капітальний (аварійний) ремонт гуртожитку № 8 ( МЗК і кімнати для умивання з 1-го по 5-йповерхи); м.Київ, Голосіївський, вул. Блакитного, 8",не зазначено,6
00493706,декларація про початок будівельних робіт,"Капітальний (аварійний) ремонт гуртожитку № 10 (кухні і МЗК з 2-го по 9-йповерхи); м.Київ, Голосіївський, вул. Генерала Родимцева, 7-А",не зазначено,6
00493706,декларація про початок будівельних робіт,"Капітальний (аварійний) ремонт гуртожитку для приїжджих № 9 (МЗК з 2-го по 9-йповерхи); м.Київ, Голосіївський, вул. Генерала Родимцева, 1",не зазначено,6
00493706,декларація про початок будівельних робіт,"Капітальний (аварійний) ремонт гуртожитку № 7 (МЗК ліве крило, I-V поверхи) НУБіП України; м.Київ, Голосіївський, вул. Ломоносова, 67",не зазначено,6
00493706,декларація про початок будівельних робіт,"Капітальний (аварійний) ремонт гуртожитку № 6 (МЗК праве крило, I-V поверхи, бойлерна) НУБіП України; м.Київ, Голосіївський, вул. Ломоносова, 65",не зазначено,6
00493706,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт фасаду із заміною вікон навчального корпусу № 15 Національного університету біоресурсів і природокористування України; м.Київ, вул. Героїв Оборони, 16",не зазначено,6
00493706,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт фасаду із заміною вікон навчального корпусу № 10 Національного університету біоресурсів і природокористування України; м.Київ, вул. Героїв оборони, 11",не зазначено,6
00493706,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт фасаду із заміною вікон навчального корпусу № 5 Національного університету біоресурсів і природокористування України; м.Київ, вул. Героїв оборони, 16",не зазначено,6
00493706,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт фасаду із заміною вікон гуртожитку № 5 Національного університету біоресурсів і природокористування України; м.Київ, вул. Ломоносова, 63",не зазначено,6
00493706,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт фасаду із заміною вікон навчального корпусу № 6 Національного університету біоресурсів і природокористування України; м.Київ, вул. Васильківська, 17",не зазначено,6
